food_id,nutrition_key,food_name,source,status
1,Abon,Abon,nutrition1_indonesia,AVAILABLE
2,Abon haruwan,Abon haruwan,nutrition1_indonesia,AVAILABLE
3,Agar-agar,Agar-agar,nutrition1_indonesia,AVAILABLE
4,Akar tonjong segar,Akar tonjong segar,nutrition1_indonesia,AVAILABLE
5,Aletoge segar,Aletoge segar,nutrition1_indonesia,AVAILABLE
6,Alpukat segar,Alpukat segar,nutrition1_indonesia,AVAILABLE
7,Ampas kacang hijau,Ampas kacang hijau,nutrition1_indonesia,AVAILABLE
8,Ampas Tahu,Ampas Tahu,nutrition1_indonesia,AVAILABLE
9,Ampas tahu kukus,Ampas tahu kukus,nutrition1_indonesia,AVAILABLE
10,Ampas tahu mentah,Ampas tahu mentah,nutrition1_indonesia,AVAILABLE
11,Anak sapi daging gemuk segar,Anak sapi daging gemuk segar,nutrition1_indonesia,AVAILABLE
12,Anak sapi daging kurus segar,Anak sapi daging kurus segar,nutrition1_indonesia,AVAILABLE
13,Anak sapi daging sedang segar,Anak sapi daging sedang segar,nutrition1_indonesia,AVAILABLE
14,Andaliman segar,Andaliman segar,nutrition1_indonesia,AVAILABLE
15,Andewi,Andewi,nutrition1_indonesia,AVAILABLE
16,Anggur hutan segar,Anggur hutan segar,nutrition1_indonesia,AVAILABLE
17,Angsa,Angsa,nutrition1_indonesia,AVAILABLE
18,Anyang sayur,Anyang sayur,nutrition1_indonesia,AVAILABLE
19,Apel,Apel,nutrition1_indonesia,AVAILABLE
20,Apel malang segar,Apel malang segar,nutrition1_indonesia,AVAILABLE
21,Arbei,Arbei,nutrition1_indonesia,AVAILABLE
22,Ares sayur,Ares sayur,nutrition1_indonesia,AVAILABLE
23,Arrowroot segar,Arrowroot segar,nutrition1_indonesia,AVAILABLE
24,Arwan sirsir,Arwan sirsir,nutrition1_indonesia,AVAILABLE
25,Asam kandis segar,Asam kandis segar,nutrition1_indonesia,AVAILABLE
26,Asam masak di pohon,Asam masak di pohon,nutrition1_indonesia,AVAILABLE
27,Asam payak segar,Asam payak segar,nutrition1_indonesia,AVAILABLE
28,Asan kandis kering,Asan kandis kering,nutrition1_indonesia,AVAILABLE
29,Asinan Bogor sayuran,Asinan Bogor sayuran,nutrition1_indonesia,AVAILABLE
30,Ayam,Ayam,nutrition1_indonesia,AVAILABLE
31,Ayam  goreng Kentuckysayap,Ayam  goreng Kentuckysayap,nutrition1_indonesia,AVAILABLE
32,Ayam ampela goreng,Ayam ampela goreng,nutrition1_indonesia,AVAILABLE
33,Ayam dideh/darah segar,Ayam dideh/darah segar,nutrition1_indonesia,AVAILABLE
34,Ayam goreng church texa sayap,Ayam goreng church texa sayap,nutrition1_indonesia,AVAILABLE
35,Ayam goreng church texas dada,Ayam goreng church texas dada,nutrition1_indonesia,AVAILABLE
36,Ayam goreng kalasan paha,Ayam goreng kalasan paha,nutrition1_indonesia,AVAILABLE
37,Ayam goreng kentucky dada,Ayam goreng kentucky dada,nutrition1_indonesia,AVAILABLE
38,Ayam goreng Kentucky paha,Ayam goreng Kentucky paha,nutrition1_indonesia,AVAILABLE
39,Ayam goreng mbok berek dada,Ayam goreng mbok berek dada,nutrition1_indonesia,AVAILABLE
40,Ayam goreng paha,Ayam goreng paha,nutrition1_indonesia,AVAILABLE
41,Ayam goreng pasundan dada,Ayam goreng pasundan dada,nutrition1_indonesia,AVAILABLE
42,Ayam goreng pasundan paha,Ayam goreng pasundan paha,nutrition1_indonesia,AVAILABLE
43,Ayam goreng pioneer dada,Ayam goreng pioneer dada,nutrition1_indonesia,AVAILABLE
44,Ayam goreng sukabumi dada,Ayam goreng sukabumi dada,nutrition1_indonesia,AVAILABLE
45,Ayam goreng sukabumi paha,Ayam goreng sukabumi paha,nutrition1_indonesia,AVAILABLE
46,Ayam hati segar,Ayam hati segar,nutrition1_indonesia,AVAILABLE
47,Ayam taliwang masakan,Ayam taliwang masakan,nutrition1_indonesia,AVAILABLE
48,Ayam usus goreng,Ayam usus goreng,nutrition1_indonesia,AVAILABLE
49,Babat,Babat,nutrition1_indonesia,AVAILABLE
50,Babi daging gemuk segar,Babi daging gemuk segar,nutrition1_indonesia,AVAILABLE
51,Babi daging kurus segar,Babi daging kurus segar,nutrition1_indonesia,AVAILABLE
52,Babi ginjal segar,Babi ginjal segar,nutrition1_indonesia,AVAILABLE
53,Babi hati segar,Babi hati segar,nutrition1_indonesia,AVAILABLE
54,Babi hutan masak rica masakan,Babi hutan masak rica masakan,nutrition1_indonesia,AVAILABLE
55,Bacang,Bacang,nutrition1_indonesia,AVAILABLE
56,Bagea kelapa asin,Bagea kelapa asin,nutrition1_indonesia,AVAILABLE
57,Bagea kelapa manis,Bagea kelapa manis,nutrition1_indonesia,AVAILABLE
58,Bagea kenari asin,Bagea kenari asin,nutrition1_indonesia,AVAILABLE
59,Bagea kenari manis,Bagea kenari manis,nutrition1_indonesia,AVAILABLE
60,Bagea kw 1,Bagea kw 1,nutrition1_indonesia,AVAILABLE
61,Bagea kw 2,Bagea kw 2,nutrition1_indonesia,AVAILABLE
62,Baje,Baje,nutrition1_indonesia,AVAILABLE
63,Bakpia kue,Bakpia kue,nutrition1_indonesia,AVAILABLE
64,Bakso,Bakso,nutrition1_indonesia,AVAILABLE
65,Bakung segar,Bakung segar,nutrition1_indonesia,AVAILABLE
66,Bakwan,Bakwan,nutrition1_indonesia,AVAILABLE
67,Baligo,Baligo,nutrition1_indonesia,AVAILABLE
68,Bantal,Bantal,nutrition1_indonesia,AVAILABLE
69,Barongko,Barongko,nutrition1_indonesia,AVAILABLE
70,Batang Tading,Batang Tading,nutrition1_indonesia,AVAILABLE
71,Batar daan,Batar daan,nutrition1_indonesia,AVAILABLE
72,Batatas gembili segar,Batatas gembili segar,nutrition1_indonesia,AVAILABLE
73,Batatas kelapa ubi bakar,Batatas kelapa ubi bakar,nutrition1_indonesia,AVAILABLE
74,Batatas kelapa ubi kukus,Batatas kelapa ubi kukus,nutrition1_indonesia,AVAILABLE
75,Batatas kelapa ubi segar,Batatas kelapa ubi segar,nutrition1_indonesia,AVAILABLE
76,Batatas tali ubi rebus,Batatas tali ubi rebus,nutrition1_indonesia,AVAILABLE
77,Bawang Bombay,Bawang Bombay,nutrition1_indonesia,AVAILABLE
78,Bawang Merah,Bawang Merah,nutrition1_indonesia,AVAILABLE
79,Bawang Putih,Bawang Putih,nutrition1_indonesia,AVAILABLE
80,Bayam kukus,Bayam kukus,nutrition1_indonesia,AVAILABLE
81,Bayam Merah,Bayam Merah,nutrition1_indonesia,AVAILABLE
82,Bayam merah segar,Bayam merah segar,nutrition1_indonesia,AVAILABLE
83,Bayam rebus,Bayam rebus,nutrition1_indonesia,AVAILABLE
84,Bayam segar,Bayam segar,nutrition1_indonesia,AVAILABLE
85,Bayam tumis + oncom,Bayam tumis + oncom,nutrition1_indonesia,AVAILABLE
86,Bayam tumis bersantan,Bayam tumis bersantan,nutrition1_indonesia,AVAILABLE
87,Bebek (itik),Bebek (itik),nutrition1_indonesia,AVAILABLE
88,Bebek alabio daging segar,Bebek alabio daging segar,nutrition1_indonesia,AVAILABLE
89,Bebek daging goreng,Bebek daging goreng,nutrition1_indonesia,AVAILABLE
90,Beberuk,Beberuk,nutrition1_indonesia,AVAILABLE
91,Beef burger,Beef burger,nutrition1_indonesia,AVAILABLE
92,Beef teriyaki masakan,Beef teriyaki masakan,nutrition1_indonesia,AVAILABLE
93,Beef yakiniku masakan,Beef yakiniku masakan,nutrition1_indonesia,AVAILABLE
94,Bekasam,Bekasam,nutrition1_indonesia,AVAILABLE
95,Bekasang,Bekasang,nutrition1_indonesia,AVAILABLE
96,Belibis daging segar,Belibis daging segar,nutrition1_indonesia,AVAILABLE
97,Belimbing,Belimbing,nutrition1_indonesia,AVAILABLE
98,Belitung talas kukus,Belitung talas kukus,nutrition1_indonesia,AVAILABLE
99,Belut goreng,Belut goreng,nutrition1_indonesia,AVAILABLE
100,Belut segar,Belut segar,nutrition1_indonesia,AVAILABLE
101,Belutlaut segar,Belutlaut segar,nutrition1_indonesia,AVAILABLE
102,Bengkuang,Bengkuang,nutrition1_indonesia,AVAILABLE
103,Bentul (Komba)  talas segar,Bentul (Komba)  talas segar,nutrition1_indonesia,AVAILABLE
104,Bentul talas kukus,Bentul talas kukus,nutrition1_indonesia,AVAILABLE
105,Beras Cerdas,Beras Cerdas,nutrition1_indonesia,AVAILABLE
106,Beras ganyong,Beras ganyong,nutrition1_indonesia,AVAILABLE
107,Beras Giling,Beras Giling,nutrition1_indonesia,AVAILABLE
108,Beras Giling masak (nasi),Beras Giling masak (nasi),nutrition1_indonesia,AVAILABLE
109,Beras giling mentah,Beras giling mentah,nutrition1_indonesia,AVAILABLE
110,Beras giling var pelita mentah,Beras giling var pelita mentah,nutrition1_indonesia,AVAILABLE
111,Beras giling var rojolele mentah,Beras giling var rojolele mentah,nutrition1_indonesia,AVAILABLE
112,Beras hitam mentah,Beras hitam mentah,nutrition1_indonesia,AVAILABLE
113,Beras jagung kuning kering mentah,Beras jagung kuning kering mentah,nutrition1_indonesia,AVAILABLE
114,Beras jagung putih kering mentah,Beras jagung putih kering mentah,nutrition1_indonesia,AVAILABLE
115,Beras Ketan Hitam,Beras Ketan Hitam,nutrition1_indonesia,AVAILABLE
116,Beras Ketan Hitam kukus,Beras Ketan Hitam kukus,nutrition1_indonesia,AVAILABLE
117,Beras Ketan Hitam tape,Beras Ketan Hitam tape,nutrition1_indonesia,AVAILABLE
118,Beras Ketan Hitam tumbuk,Beras Ketan Hitam tumbuk,nutrition1_indonesia,AVAILABLE
119,Beras ketan hitam tumbuk mentah,Beras ketan hitam tumbuk mentah,nutrition1_indonesia,AVAILABLE
120,Beras Ketan Putih,Beras Ketan Putih,nutrition1_indonesia,AVAILABLE
121,Beras Ketan Putih kukus,Beras Ketan Putih kukus,nutrition1_indonesia,AVAILABLE
122,Beras Ketan Putih tape,Beras Ketan Putih tape,nutrition1_indonesia,AVAILABLE
123,Beras Ketan Putih tumbuk,Beras Ketan Putih tumbuk,nutrition1_indonesia,AVAILABLE
124,Beras ketan putih tumbuk mentah,Beras ketan putih tumbuk mentah,nutrition1_indonesia,AVAILABLE
125,Beras ladang mentah,Beras ladang mentah,nutrition1_indonesia,AVAILABLE
126,Beras Menir,Beras Menir,nutrition1_indonesia,AVAILABLE
127,Beras menir mentah,Beras menir mentah,nutrition1_indonesia,AVAILABLE
128,Beras Merah tumbuk,Beras Merah tumbuk,nutrition1_indonesia,AVAILABLE
129,Beras Parboiled,Beras Parboiled,nutrition1_indonesia,AVAILABLE
130,Beras parboiled,Beras parboiled,nutrition1_indonesia,AVAILABLE
131,Beras Pecah Kulit,Beras Pecah Kulit,nutrition1_indonesia,AVAILABLE
132,Beras Setengah Giling,Beras Setengah Giling,nutrition1_indonesia,AVAILABLE
133,Beras Siger,Beras Siger,nutrition1_indonesia,AVAILABLE
134,Beras tumbuk mentah,Beras tumbuk mentah,nutrition1_indonesia,AVAILABLE
135,Beras tumbuk merah mentah,Beras tumbuk merah mentah,nutrition1_indonesia,AVAILABLE
136,Betok wadi masakan,Betok wadi masakan,nutrition1_indonesia,AVAILABLE
137,Bihun,Bihun,nutrition1_indonesia,AVAILABLE
138,Bihun Goreng,Bihun Goreng,nutrition1_indonesia,AVAILABLE
139,Bihun goreng instan,Bihun goreng instan,nutrition1_indonesia,AVAILABLE
140,Bihun Jagung mentah,Bihun Jagung mentah,nutrition1_indonesia,AVAILABLE
141,Bihun mentah,Bihun mentah,nutrition1_indonesia,AVAILABLE
142,Biji Jambu Mete,Biji Jambu Mete,nutrition1_indonesia,AVAILABLE
143,Biji Jambu Mete goreng,Biji Jambu Mete goreng,nutrition1_indonesia,AVAILABLE
144,Biji nangka/Biji salak,Biji nangka/Biji salak,nutrition1_indonesia,AVAILABLE
145,Bika ambon,Bika ambon,nutrition1_indonesia,AVAILABLE
146,Bika Ambon,Bika Ambon,nutrition1_indonesia,AVAILABLE
147,Bir (4% alkohol),Bir (4% alkohol),nutrition1_indonesia,AVAILABLE
148,Biskuit,Biskuit,nutrition1_indonesia,AVAILABLE
149,Bit,Bit,nutrition1_indonesia,AVAILABLE
150,Biwah segar,Biwah segar,nutrition1_indonesia,AVAILABLE
151,Bonggol Pisang,Bonggol Pisang,nutrition1_indonesia,AVAILABLE
152,Bonggol Pisang kering,Bonggol Pisang kering,nutrition1_indonesia,AVAILABLE
153,Bongkrek (tempe bungkil),Bongkrek (tempe bungkil),nutrition1_indonesia,AVAILABLE
154,Boros Kunci,Boros Kunci,nutrition1_indonesia,AVAILABLE
155,Boros Laja (lengkuas),Boros Laja (lengkuas),nutrition1_indonesia,AVAILABLE
156,Botok lamtoro,Botok lamtoro,nutrition1_indonesia,AVAILABLE
157,Brem,Brem,nutrition1_indonesia,AVAILABLE
158,Brondong,Brondong,nutrition1_indonesia,AVAILABLE
159,Brongkos,Brongkos,nutrition1_indonesia,AVAILABLE
160,Buah Atung,Buah Atung,nutrition1_indonesia,AVAILABLE
161,Buah kelenting segar,Buah kelenting segar,nutrition1_indonesia,AVAILABLE
162,Buah kelor,Buah kelor,nutrition1_indonesia,AVAILABLE
163,Buah kom segar,Buah kom segar,nutrition1_indonesia,AVAILABLE
164,Buah Mentega (bisbul),Buah Mentega (bisbul),nutrition1_indonesia,AVAILABLE
165,Buah merah,Buah merah,nutrition1_indonesia,AVAILABLE
166,Buah Naga Merah segar,Buah Naga Merah segar,nutrition1_indonesia,AVAILABLE
167,Buah Naga Putih segar,Buah Naga Putih segar,nutrition1_indonesia,AVAILABLE
168,Buah negri segar,Buah negri segar,nutrition1_indonesia,AVAILABLE
169,Buah Nona,Buah Nona,nutrition1_indonesia,AVAILABLE
170,Buah rotan segar,Buah rotan segar,nutrition1_indonesia,AVAILABLE
171,Buah rukam segar,Buah rukam segar,nutrition1_indonesia,AVAILABLE
172,Buah ruruhi segar,Buah ruruhi segar,nutrition1_indonesia,AVAILABLE
173,Buah tuppa segar,Buah tuppa segar,nutrition1_indonesia,AVAILABLE
174,Buaya daging dendeng mentah,Buaya daging dendeng mentah,nutrition1_indonesia,AVAILABLE
175,Bubur,Bubur,nutrition1_indonesia,AVAILABLE
176,Bubur sagu,Bubur sagu,nutrition1_indonesia,AVAILABLE
177,Bubur tinotuan (Manado),Bubur tinotuan (Manado),nutrition1_indonesia,AVAILABLE
178,Bulgogi masakan,Bulgogi masakan,nutrition1_indonesia,AVAILABLE
179,Bulung Jajan,Bulung Jajan,nutrition1_indonesia,AVAILABLE
180,Bulung Sangu,Bulung Sangu,nutrition1_indonesia,AVAILABLE
181,Buncis,Buncis,nutrition1_indonesia,AVAILABLE
182,Buncis asam,Buncis asam,nutrition1_indonesia,AVAILABLE
183,Buncis rebus,Buncis rebus,nutrition1_indonesia,AVAILABLE
184,Bunga pepaya segar,Bunga pepaya segar,nutrition1_indonesia,AVAILABLE
185,Bunga turi segar,Bunga turi segar,nutrition1_indonesia,AVAILABLE
186,Bungkil Biji Karet,Bungkil Biji Karet,nutrition1_indonesia,AVAILABLE
187,Bungkil Kacang Tanah,Bungkil Kacang Tanah,nutrition1_indonesia,AVAILABLE
188,Bungkil Kelapa,Bungkil Kelapa,nutrition1_indonesia,AVAILABLE
189,Buntil,Buntil,nutrition1_indonesia,AVAILABLE
190,Buntil daun talas,Buntil daun talas,nutrition1_indonesia,AVAILABLE
191,Buras,Buras,nutrition1_indonesia,AVAILABLE
192,Burung sarang segar,Burung sarang segar,nutrition1_indonesia,AVAILABLE
193,Cabai gembor merah segar,Cabai gembor merah segar,nutrition1_indonesia,AVAILABLE
194,Cabai hijau segar,Cabai hijau segar,nutrition1_indonesia,AVAILABLE
195,Cabai merah kering,Cabai merah kering,nutrition1_indonesia,AVAILABLE
196,Cabai merah segar,Cabai merah segar,nutrition1_indonesia,AVAILABLE
197,Cabai rawit segar,Cabai rawit segar,nutrition1_indonesia,AVAILABLE
198,Caisin segar,Caisin segar,nutrition1_indonesia,AVAILABLE
199,Cakalang asar (asap papua),Cakalang asar (asap papua),nutrition1_indonesia,AVAILABLE
200,Cake tape,Cake tape,nutrition1_indonesia,AVAILABLE
201,Cammetutu,Cammetutu,nutrition1_indonesia,AVAILABLE
202,Cantel mentah,Cantel mentah,nutrition1_indonesia,AVAILABLE
203,Cap cai sayur,Cap cai sayur,nutrition1_indonesia,AVAILABLE
204,Carica papaya segar,Carica papaya segar,nutrition1_indonesia,AVAILABLE
205,Cassavastick,Cassavastick,nutrition1_indonesia,AVAILABLE
206,Cempedak,Cempedak,nutrition1_indonesia,AVAILABLE
207,Cengkeh kering,Cengkeh kering,nutrition1_indonesia,AVAILABLE
208,Centel,Centel,nutrition1_indonesia,AVAILABLE
209,Ceriping getuk singkong,Ceriping getuk singkong,nutrition1_indonesia,AVAILABLE
210,Chicken teriyaki masakan,Chicken teriyaki masakan,nutrition1_indonesia,AVAILABLE
211,Chikiniku masakan,Chikiniku masakan,nutrition1_indonesia,AVAILABLE
212,Coklat bubuk,Coklat bubuk,nutrition1_indonesia,AVAILABLE
213,Coklat Manis batang,Coklat Manis batang,nutrition1_indonesia,AVAILABLE
214,Coklat Pahit batang,Coklat Pahit batang,nutrition1_indonesia,AVAILABLE
215,Coklat Susu batang,Coklat Susu batang,nutrition1_indonesia,AVAILABLE
216,Combro,Combro,nutrition1_indonesia,AVAILABLE
217,Corned Beef,Corned Beef,nutrition1_indonesia,AVAILABLE
218,Coto mangkasara kuda masakan,Coto mangkasara kuda masakan,nutrition1_indonesia,AVAILABLE
219,Coto mangkasara sapi masakan,Coto mangkasara sapi masakan,nutrition1_indonesia,AVAILABLE
220,Cue Selar Kuning,Cue Selar Kuning,nutrition1_indonesia,AVAILABLE
221,Cuka,Cuka,nutrition1_indonesia,AVAILABLE
222,Cumi-cumi goreng,Cumi-cumi goreng,nutrition1_indonesia,AVAILABLE
223,Cumi-cumi segar,Cumi-cumi segar,nutrition1_indonesia,AVAILABLE
224,Daging Anak Sapi,Daging Anak Sapi,nutrition1_indonesia,AVAILABLE
225,Daging Asap,Daging Asap,nutrition1_indonesia,AVAILABLE
226,Daging Babi Gemuk,Daging Babi Gemuk,nutrition1_indonesia,AVAILABLE
227,Daging Babi Kurus,Daging Babi Kurus,nutrition1_indonesia,AVAILABLE
228,Daging Domba,Daging Domba,nutrition1_indonesia,AVAILABLE
229,Daging Kambing,Daging Kambing,nutrition1_indonesia,AVAILABLE
230,Daging Kerbau,Daging Kerbau,nutrition1_indonesia,AVAILABLE
231,Daging Kuda,Daging Kuda,nutrition1_indonesia,AVAILABLE
232,Daging Sapi,Daging Sapi,nutrition1_indonesia,AVAILABLE
233,Daun bangun-bangun segar,Daun bangun-bangun segar,nutrition1_indonesia,AVAILABLE
234,Daun Bawang,Daun Bawang,nutrition1_indonesia,AVAILABLE
235,Daun bawang  merah segar,Daun bawang  merah segar,nutrition1_indonesia,AVAILABLE
236,Daun bebuas segar,Daun bebuas segar,nutrition1_indonesia,AVAILABLE
237,Daun belem segar,Daun belem segar,nutrition1_indonesia,AVAILABLE
238,Daun Beluntas,Daun Beluntas,nutrition1_indonesia,AVAILABLE
239,Daun Cincau,Daun Cincau,nutrition1_indonesia,AVAILABLE
240,Daun Gandaria,Daun Gandaria,nutrition1_indonesia,AVAILABLE
241,Daun gedi besar segar,Daun gedi besar segar,nutrition1_indonesia,AVAILABLE
242,Daun gelang segar,Daun gelang segar,nutrition1_indonesia,AVAILABLE
243,Daun gunda bali segar,Daun gunda bali segar,nutrition1_indonesia,AVAILABLE
244,Daun gunda serang segar,Daun gunda serang segar,nutrition1_indonesia,AVAILABLE
245,Daun Jambu Mete muda,Daun Jambu Mete muda,nutrition1_indonesia,AVAILABLE
246,Daun jampang segar,Daun jampang segar,nutrition1_indonesia,AVAILABLE
247,Daun jawaw seluang segar,Daun jawaw seluang segar,nutrition1_indonesia,AVAILABLE
248,Daun jonghe segar,Daun jonghe segar,nutrition1_indonesia,AVAILABLE
249,Daun kacang ma segar,Daun kacang ma segar,nutrition1_indonesia,AVAILABLE
250,Daun Kacang Panjang,Daun Kacang Panjang,nutrition1_indonesia,AVAILABLE
251,Daun Kacang Panjang kukus,Daun Kacang Panjang kukus,nutrition1_indonesia,AVAILABLE
252,Daun kacang panjang segar,Daun kacang panjang segar,nutrition1_indonesia,AVAILABLE
253,Daun kasbi/singkong karet segar,Daun kasbi/singkong karet segar,nutrition1_indonesia,AVAILABLE
254,Daun Katuk,Daun Katuk,nutrition1_indonesia,AVAILABLE
255,Daun katuk rebus,Daun katuk rebus,nutrition1_indonesia,AVAILABLE
256,Daun katuk segar,Daun katuk segar,nutrition1_indonesia,AVAILABLE
257,Daun Kecipir,Daun Kecipir,nutrition1_indonesia,AVAILABLE
258,Daun Kedondong,Daun Kedondong,nutrition1_indonesia,AVAILABLE
259,Daun Kelor,Daun Kelor,nutrition1_indonesia,AVAILABLE
260,Daun Kelor rebus,Daun Kelor rebus,nutrition1_indonesia,AVAILABLE
261,Daun Kemangi,Daun Kemangi,nutrition1_indonesia,AVAILABLE
262,Daun kenikir segar,Daun kenikir segar,nutrition1_indonesia,AVAILABLE
263,Daun kesum segar,Daun kesum segar,nutrition1_indonesia,AVAILABLE
264,Daun kol sawi segar,Daun kol sawi segar,nutrition1_indonesia,AVAILABLE
265,Daun Koro,Daun Koro,nutrition1_indonesia,AVAILABLE
266,Daun kubis segar,Daun kubis segar,nutrition1_indonesia,AVAILABLE
267,Daun Kumak,Daun Kumak,nutrition1_indonesia,AVAILABLE
